Order ID,Order Date,Region,Category,Product,Sales,Quantity,Profit
1001,2024-01-05,South,Electronics,Smartphone,1200,2,300
1002,2024-01-07,South,Furniture,Chair,300,3,90
1003,2024-01-10,East,Electronics,Laptop,3500,1,700
1004,2024-01-15,West,Office Supplies,Notebook,50,10,20
1005,2024-02-01,North,Furniture,Table,800,1,200
1006,2024-02-03,East,Electronics,Headphones,200,4,80
1007,2024-02-10,South,Office Supplies,Pen,20,15,10
1008,2024-02-18,West,Furniture,Sofa,1500,1,400
1009,2024-03-02,North,Electronics,Tablet,900,2,250
1010,2024-03-08,East,Office Supplies,Printer,600,1,150
1011,2024-03-15,South,Furniture,Desk,700,1,180
1012,2024-03-20,West,Electronics,Monitor,400,2,120
1013,2024-04-01,North,Office Supplies,Stapler,40,5,15
1014,2024-04-05,East,Furniture,Bookshelf,350,2,100
1015,2024-04-10,South,Electronics,Smartwatch,250,3,75
